subject,SD threshold,window size
100,-1,2400
101,-1,3600
102,-1,3600
103,-1,1000
105,-1,6000
106,-1,900
010,-1,450
011,-1,450
012,-1,2400
013,-1,4800
014,-1,750
015,-1,3000
016,-1,900
017,-1,900
018,-1,3000
001,-1,2400
021,-1,450
022,-1,9600
023,-1,900
027,-1,900
028,-1,20000
029,-1,5250
002,-1,30000
030,-1,900
031,-1,1800
032,-1,30000
033,-1,3000
034,-1,4800
036,-1,3000
037,-1,1500
038,-1,900
039,-1,900
003,-1,3450
053,-1,7200
054,-1,3600
055,-1,3600
056,-1,450
057,-1,2100
058,-1,3600
059,-1,15200
005,-1,1950
060,-1,900
061,-1,1050
062,-1,1800
063,-1,2550
064,-1,8400
065,-1,1650
066,-1,10800
067,-1,450
068,-1,2100
069,-1,1800
006,-1,1000
070,-1,2400
071,-1,2400
072,-1,1800
073,-1,6000
074,-1,1000
075,-1,1500
076,-1,13200
077,-1,4800
078,-1,1800
079,-1,900
080,-1,6000
081,-1,19200
082,-1,3600
083,-1,450
084,-1,1800
086,-1,900
087,-1,450
088,-1,900
089,-1,4800
008,-1,1800
090,-1,1800
091,-1,2400
093,-1,12000
094,-1,450
095,-1,6000
096,-1,1800
097,-1,2400
098,-1,1000
009,-1,1500
